MASTER_CAMPAIGN_ID,MEDIA,START_DATE,END_DATE,EVALUATE
"i2c1508254a","Instore Sampling1",2015-10-25,2015-10-25,1
"i2c1508257a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1510008a","Six Sheets1",2015-10-18,2015-10-31,1
"i2c1509016a2","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1509016a2","Six Sheets1",2015-11-18,2015-12-01,1
"i2c1508265a","Six Sheets2",2015-09-21,2015-10-04,1
"i2c1508265a","Six Sheets3",2015-09-21,2015-10-04,1
"i2c1508265a","Six Sheets1",2015-09-21,2015-10-04,1
"i2c1505029aM","JS Magazine1",2015-05-04,2015-06-02,1
"i2c1509010a","Instore Sampling1",2015-10-17,2015-10-18,1
"i2c1509107a4","Six Sheets2",2015-10-05,2015-10-18,1
"i2c1509107a4","Six Sheets1",2015-10-05,2015-10-18,1
"i2c1512047a","Six Sheets1",2015-12-09,2015-12-22,1
"i2c1512047a","Trolleys1",2015-12-09,2015-12-29,1
"i2c1509048a","Instore Sampling1",2015-11-13,2015-11-13,1
"i2cLENUNV4","Six Sheets2",2015-11-02,2015-11-15,1
"i2cLENUNV4","Six Sheets1",2015-11-02,2015-11-15,1
"i2cBRAUNV4","Six Sheets1",2015-11-16,2015-11-29,1
"i2cBRAUNV2","Six Sheets1",2015-11-16,2015-11-29,1
"i2c1516KC0M1","JS Magazine1",2015-06-30,2015-07-28,1
"i2cGILLEV4","Six Sheets1",2015-12-14,2016-01-03,1
"i2c1507156a","Six Sheets1",2015-09-21,2015-10-04,1
"i2c1507156a","JS Magazine1",2015-09-29,2015-10-27,1
"i2c1507156a","TV Wall1",2015-09-16,2015-10-06,1
"i2c1507141a","Trolleys1",2015-09-16,2015-10-06,1
"i2c1507141a","Six Sheets1",2015-09-21,2015-10-04,1
"i2c1510003aG","Six Sheets1",2015-12-14,2016-01-03,1
"i2c1504050aM","JS Magazine1",2015-04-07,2015-05-05,1
"i2c1509002a","Instore Sampling1",2015-08-26,2015-08-30,1
"i2c1512022P","TV Wall1",2016-01-20,2016-02-02,1
"i2c1512022P","Six Sheets1",2016-01-18,2016-01-31,1
"i2c1510046a","Instore Sampling2",2015-12-13,2015-12-13,1
"i2c1510046a","Instore Sampling5",2015-12-15,2015-12-15,1
"i2c1510046a","Instore Sampling1",2015-12-10,2015-12-10,1
"i2c1510046a","Instore Sampling3",2015-12-12,2015-12-12,1
"i2c1510046a","Instore Sampling4",2015-12-14,2015-12-14,1
"i2c1510020a","Entrance Gates1",2016-01-20,2016-02-02,1
"i2c1510020a","JS Magazine2",2016-01-01,2016-02-01,1
"i2c1510020a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1510020a","JS Magazine3",2016-01-01,2016-02-01,1
"i2c1510020a","Trolleys1",2015-11-18,2015-12-08,1
"i2c1510020a","Trolleys2",2015-12-30,2016-01-19,1
"i2cFAIDHDWV2","Six Sheets1",2015-10-05,2015-10-18,1
"i2cFAIDHDWV2","Six Sheets2",2015-10-05,2015-10-18,1
"i2c1507161a","Six Sheets1",2015-09-21,2015-10-04,1
"i2c1507161a","Car Park Posters1",2015-09-21,2015-10-04,1
"i2c1507161a","JS Magazine1",2015-08-24,2015-09-29,1
"i2c1508206a","Milk Media1",2015-10-28,2015-11-03,1
"i2cLENORV2","Six Sheets1",2015-11-02,2015-11-15,1
"i2cLENORV2","Six Sheets2",2015-11-02,2015-11-15,1
"i2c1508186a","Entrance Gates1",2015-10-28,2015-11-17,1
"i2c1508186a","Trolleys1",2015-10-28,2015-11-17,1
"i2c1504028aM","JS Magazine1",2015-04-07,2015-05-05,1
"i2c1506032M1","JS Magazine1",2015-06-02,2015-06-30,1
"i2c1510108a","Instore Sampling1",2015-11-27,2015-11-27,1
"i2c1510108a","Instore Sampling5",2015-12-10,2015-12-10,1
"i2c1510108a","Instore Sampling2",2015-12-05,2015-12-05,1
"i2c1510108a","Instore Sampling4",2015-12-08,2015-12-08,1
"i2c1510108a","Instore Sampling3",2015-12-06,2015-12-06,1
"i2c1510108a","TV Wall1",2015-11-18,2015-12-08,1
"i2c1508252a","Instore Sampling1",2015-10-08,2015-10-13,1
"i2c1509124a","Six Sheets1",2015-11-16,2015-11-29,1
"i2cLYNX333","TV Wall1",2016-02-07,2016-02-27,1
"i2c1510007a","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1510007a","Instore Sampling1",2015-10-29,2015-10-29,1
"i2c1510007a","Instore Sampling2",2015-10-30,2015-10-30,1
"i2c1507212a","Instore Sampling1",2015-12-12,2015-12-12,1
"i2c1507212a","Instore Sampling4",2015-12-17,2015-12-17,1
"i2c1507212a","Instore Sampling2",2015-12-14,2015-12-14,1
"i2c1507212a","Instore Sampling3",2015-12-15,2015-12-15,1
"i2cNEW-TOOL","TV Wall1",2015-10-28,2015-11-17,1
"i2cNEW-TOOL","Entrance Gates1",2015-10-28,2015-11-17,1
"i2cNEW-TOOL","JS Magazine1",2015-10-27,2015-12-01,1
"i2cLENORV4","Six Sheets2",2015-11-02,2015-11-15,1
"i2cLENORV4","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1511103a","Six Sheets1",2015-12-14,2015-12-27,1
"i2c1508169a2","Instore Sampling1",2015-10-30,2015-10-30,1
"i2c1537AH0a","Instore Sampling1",2015-09-26,2015-09-26,1
"i2c1509004a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c15FAIFE","Six Sheets1",2016-01-18,2016-01-31,1
"i2c15FAIFE","TV Wall1",2016-01-20,2016-02-02,1
"i2c1535KE0","Milk Media1",2015-09-02,2015-09-09,1
"i2c1535KE0","JS Magazine1",2015-08-24,2015-09-29,1
"i2c1509004a2","JS Magazine1",2015-10-27,2015-12-01,1
"ALAN_TEST","Email1",2015-11-01,2015-11-18,1
"ALAN_TEST","JS Magazine1",2015-10-27,2015-12-01,1
"ALAN_TEST","Trolleys1",2015-10-28,2015-11-17,1
"i2c1508118a","Six Sheets1",2015-11-16,2015-11-29,1
"i2c1509016a","TV Wall1",2015-11-18,2015-12-08,1
"i2c1509016a","Six Sheets1",2015-11-18,2015-12-01,1
"i2c1509016a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1516KC0M","JS Magazine1",2015-06-02,2015-06-30,1
"i2cFAINBV2","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1509107a6","Six Sheets1",2015-11-02,2015-11-15,1
"i2cVENUSV4","Six Sheets1",2015-12-14,2016-01-03,1
"i2c1508257aS","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1509125a2","Instore Sampling2",2015-12-10,2015-12-10,1
"i2c1509125a2","Instore Sampling4",2015-12-09,2015-12-09,1
"i2c1509125a2","Instore Sampling3",2015-12-16,2015-12-16,1
"i2c1509125a2","Instore Sampling5",2015-12-15,2015-12-15,1
"i2c1509125a2","Instore Sampling1",2015-12-08,2015-12-08,1
"i2c1509125a2","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1509125a2","TV Wall1",2015-10-28,2015-11-17,1
"i2c1509125a2","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1506058aM","JS Magazine1",2015-06-30,2015-07-28,1
"i2c1512024a","Entrance Gates1",2015-12-30,2016-01-19,1
"i2c1504064aM","JS Magazine1",2015-04-07,2015-05-05,1
"i2cFABREV2","Six Sheets1",2015-11-02,2015-11-15,1
"i2cFABREV2","Six Sheets2",2015-11-02,2015-11-15,1
"i2c1509134a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1509134a","TV Wall1",2015-10-28,2015-11-17,1
"i2c1509134a","Six Sheets1",2015-11-02,2015-11-15,1
"i2cARIALV2","Six Sheets1",2015-11-02,2015-11-15,1
"i2cARIALV2","Six Sheets2",2015-11-02,2015-11-15,1
"i2c1507209a","Instore Sampling3",2015-11-09,2015-11-09,1
"i2c1507209a","Instore Sampling4",2015-11-10,2015-11-10,1
"i2c1507209a","Instore Sampling1",2015-11-07,2015-11-07,1
"i2c1507209a","Instore Sampling2",2015-11-08,2015-11-08,1
"i2c1509042a","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1509070a","Instore Sampling1",2015-11-08,2015-11-08,1
"i2c1509070a","Instore Sampling2",2015-12-18,2015-12-18,1
"i2c1509070a","JS Magazine1",2015-12-01,2015-12-24,1
"i2c1508127a","JS Magazine2",2015-09-29,2015-10-27,1
"i2c1508127a","JS Magazine1",2015-08-24,2015-09-29,1
"i2cFAIDHDWV3","Six Sheets1",2015-10-05,2015-10-18,1
"i2cFAIDHDWV3","Six Sheets2",2015-10-05,2015-10-18,1
"i2c1510062a","Instore Sampling1",2015-11-27,2015-11-27,1
"i2c1510062a","Instore Sampling2",2015-12-18,2015-12-18,1
"i2c1510062a","Instore Sampling3",2015-11-28,2015-11-28,1
"i2c1510062a","Instore Sampling4",2015-11-30,2015-11-30,1
"i2c1509018a","Instore Sampling1",2015-10-02,2015-10-02,1
"i2c1509018a","JS Magazine1",2015-09-29,2015-10-27,1
"i2c1509018a","Six Sheets1",2015-09-21,2015-10-04,1
"i2cORALBV4","Entrance Gates1",2015-11-18,2015-12-08,1
"i2cORALBV4","Six Sheets1",2015-11-16,2015-11-29,1
"i2cORALBV4","Six Sheets2",2015-11-16,2015-11-29,1
"i2c1507076a","Instore Sampling2",2015-08-16,2015-08-16,1
"i2c1507076a","Instore Sampling1",2015-08-15,2015-08-15,1
"i2c1507076a","Instore Sampling3",2015-09-12,2015-09-12,1
"i2c1507076a","JS Magazine1",2015-07-28,2015-08-25,1
"i2c1507076a","Take Home Barker1",2015-08-12,2015-08-25,0
"i2c1509103a","Instore Sampling3",2015-10-22,2015-10-22,1
"i2c1509103a","Instore Sampling1",2015-10-19,2015-10-19,1
"i2c1509103a","Instore Sampling4",2015-10-25,2015-10-25,1
"i2c1509103a","Instore Sampling5",2015-11-29,2015-11-29,1
"i2c1509103a","Instore Sampling2",2015-10-20,2015-10-20,1
"i2c1509061a","TV Wall1",2015-10-28,2015-11-17,1
"i2c1509061a","Entrance Gates1",2015-10-28,2015-11-17,1
"i2c1509061a","JS Magazine1",2015-10-27,2015-12-01,1
"i2cLYNX666","TV Wall1",2016-02-07,2016-03-19,1
"i2c1505074aM","JS Magazine1",2015-05-04,2015-06-02,1
"i2c1507187a","TV Wall1",2015-10-07,2015-10-27,1
"i2c1507187a","Six Sheets1",2015-10-05,2015-10-18,1
"i2c1507187a","Entrance Gates1",2015-10-07,2015-10-27,1
"i2c1507030a","Six Sheets1",2015-08-26,2015-09-09,1
"i2c1507030a","Instore Sampling1",2015-08-29,2015-08-29,1
"i2c1507030a","Instore Sampling2",2015-08-29,2015-08-29,1
"i2c1507030a","JS Magazine1",2015-08-24,2015-09-29,1
"i2c1512046a","Entrance Gates1",2015-12-09,2015-12-29,1
"i2c1511135a","Six Sheets1",2016-01-04,2016-01-17,1
"i2c1511135a","Instore Sampling1",2016-01-08,2016-01-08,1
"i2c1509142a","Instore Sampling3",2015-12-18,2015-12-18,1
"i2c1509142a","Instore Sampling4",2015-12-10,2015-12-10,1
"i2c1509142a","Instore Sampling2",2015-12-16,2015-12-16,1
"i2c1509142a","Instore Sampling1",2015-12-09,2015-12-09,1
"i2c1507095a","JS Magazine1",2015-09-29,2015-10-27,1
"i2c1507095a","Trolleys1",2015-07-22,2015-08-11,1
"i2c1507095a","TV Wall1",2015-07-22,2015-08-11,1
"i2c1509107aA","Six Sheets3",2015-11-02,2015-11-15,1
"i2c1509107aA","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1509107aA","Six Sheets2",2015-11-02,2015-11-15,1
"i2cOLAYV4","Entrance Gates1",2015-11-18,2015-12-08,1
"i2cOLAYV4","Six Sheets1",2015-11-16,2015-11-29,1
"i2c1504021aM","JS Magazine1",2015-04-07,2015-05-05,1
"i2c1601020a","Instore Sampling2",2016-02-07,2016-02-07,1
"i2c1601020a","Instore Sampling1",2016-02-06,2016-02-06,1
"i2c1510003a3","Six Sheets1",2015-11-16,2015-11-29,1
"i2c1510003aV","Six Sheets1",2015-12-14,2016-01-03,1
"i2cFLASHV2","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1510052a","Instore Sampling2",2015-12-01,2015-12-01,1
"i2c1510052a","Instore Sampling1",2015-11-23,2015-11-23,1
"i2c1510052a","Instore Sampling3",2015-11-29,2015-11-29,1
"i2c1509111a2","Six Sheets2",2015-10-28,2016-01-03,1
"i2c1511069a","JS Magazine1",2016-01-01,2016-02-01,1
"i2c1509029a","Instore Sampling1",2015-10-29,2015-10-30,1
"i2c1509046a","Instore Sampling1",2015-11-05,2015-11-05,1
"i2c1509046a","Instore Sampling2",2015-11-06,2015-11-06,1
"i2c1508040a","Six Sheets1",2015-08-10,2015-08-23,1
"i2c1507203a","Instore Sampling1",2015-10-11,2015-10-11,1
"i2c1507203a","Trolleys1",2015-10-07,2015-10-27,1
"i2c1510020a2","Entrance Gates1",2016-01-20,2016-02-02,1
"i2c1510020a2","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1510020a2","JS Magazine2",2016-01-01,2016-02-01,1
"i2c1510020a2","Trolleys2",2015-12-30,2016-01-19,1
"i2c1510020a2","Trolleys1",2015-11-18,2015-12-08,1
"i2c1509107aL","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1509107aL","Six Sheets2",2015-11-02,2015-11-15,1
"i2c1509107aL","Six Sheets3",2015-11-02,2015-11-15,1
"i2c1509067a","Instore Sampling2",2015-11-23,2015-11-23,1
"i2c1509067a","Instore Sampling3",2015-11-24,2015-11-24,1
"i2c1509067a","Instore Sampling4",2015-11-25,2015-11-25,1
"i2c1509067a","Instore Sampling1",2015-11-22,2015-11-22,1
"i2c1508013a","Aisle Fins1",2015-08-12,2015-08-25,0
"i2c1508013a","Milk Media1",2015-08-26,2015-09-08,1
"i2c1510006a","Instore Sampling1",2015-12-07,2015-12-07,1
"i2c1504091aM","JS Magazine1",2015-04-07,2015-05-05,1
"i2cLYNX222","TV Wall1",2016-02-07,2016-02-20,1
"i2cLYNX777","TV Wall1",2016-02-07,2016-03-26,1
"i2c1508107a","JS Magazine1",2015-09-29,2015-10-27,1
"i2c1508107a","Six Sheets1",2015-10-05,2015-10-19,1
"i2cLENUNV2","Six Sheets2",2015-11-02,2015-11-15,1
"i2cLENUNV2","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1509107a2","Six Sheets2",2015-11-02,2015-11-15,1
"i2c1509107a2","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1509030a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1509030a","Six Sheets1",2015-11-16,2015-11-29,1
"i2c1511003a","JS Magazine1",2015-12-01,2015-12-24,1
"i2c1511003a","Trolleys1",2015-12-09,2015-12-29,1
"i2c1507173a","Instore Sampling1",2015-09-05,2015-09-10,1
"i2c1510047a","Instore Sampling2",2015-12-04,2015-12-04,1
"i2c1510047a","Instore Sampling3",2015-12-06,2015-12-06,1
"i2c1510047a","Instore Sampling1",2015-12-05,2015-12-05,1
"i2c1510047a","JS Magazine2",2015-12-01,2015-12-24,1
"i2c1510047a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1510047a","Six Sheets1",2015-11-30,2015-12-13,1
"i2c1509106a2","Six Sheets1",2015-11-16,2015-11-29,1
"i2c1509106a2","Entrance Gates1",2015-11-18,2015-12-08,1
"i2c1509107aF","Six Sheets1",2015-11-02,2015-11-15,1
"i2cFAIFEV4","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1510003a1","Entrance Gates1",2015-11-18,2015-12-08,1
"i2c1510003a1","Six Sheets1",2015-11-16,2015-11-29,1
"i2cHSV2","Six Sheets1",2015-12-14,2016-01-03,1
"i2c1510074a","Instore Sampling1",2015-12-19,2015-12-19,1
"i2c1509131a","Instore Sampling1",2015-12-20,2015-12-20,1
"i2c1509131a","Instore Sampling1",2015-12-19,2015-12-19,1
"i2cGILLEV2","Six Sheets1",2015-12-14,2016-01-03,1
"i2c1510116a","Instore Sampling2",2015-11-14,2015-11-14,1
"i2c1510116a","Instore Sampling3",2015-11-15,2015-11-15,1
"i2c1510116a","Instore Sampling5",2015-11-16,2015-11-16,1
"i2c1510116a","Instore Sampling1",2015-11-13,2015-11-13,1
"i2c1510116a","Instore Sampling4",2015-11-17,2015-11-17,1
"i2c1510061a","Six Sheets1",2015-11-30,2015-12-13,1
"i2c1510013a","Aisle Fins1",2015-10-07,2015-10-27,0
"i2c1510013a","Entrance Gates1",2015-10-07,2015-10-27,1
"i2c1507204a","Instore Sampling1",2015-10-31,2015-10-31,1
"i2c1507204a","Instore Sampling2",2015-11-01,2015-11-01,1
"i2c1511015a","Trolleys1",2015-12-09,2015-12-29,1
"i2c1511015a","TV Wall1",2015-12-09,2015-12-29,1
"i2c1511015a","Six Sheets2",2015-12-13,2015-12-26,1
"i2c1511015a","Six Sheets1",2015-11-30,2015-12-13,1
"i2c1511015a","Entrance Gates1",2015-12-09,2015-12-29,1
"i2c1510003aH","Six Sheets1",2015-12-14,2016-01-03,1
"TEST_JD2","Milk Media1",2015-08-26,2015-09-15,1
"TEST_JD2","JS Magazine1",2015-08-25,2015-09-30,1
"TEST_JD2","Mobile1",2015-08-26,2015-09-15,1
"TEST_JD2","Six Sheets1",2015-08-19,2015-09-15,1
"TEST_JD2","Six Sheets2",2015-08-19,2015-09-15,1
"i2cLYNX555","TV Wall1",2016-02-07,2016-03-12,1
"i2c1508124a","Instore Sampling1",2015-10-15,2015-10-15,1
"i2cVENUSV2","Six Sheets1",2015-12-14,2016-01-03,1
"i2c1509107a5","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1509107a5","Six Sheets2",2015-11-02,2015-11-15,1
"i2c1509106a","Six Sheets1",2015-11-18,2015-12-08,1
"i2cHSV4","Six Sheets1",2015-12-14,2016-01-03,1
"i2c1508137a","Instore Sampling1",2015-10-08,2015-10-13,1
"i2cLYNX444","TV Wall1",2016-02-07,2016-03-05,1
"i2c1505012aM","JS Magazine1",2015-05-04,2015-06-02,1
"i2c1508281a","Instore Sampling2",2015-10-09,2015-10-10,1
"i2c1509069a","Instore Sampling2",2015-10-16,2015-10-16,1
"i2c1509069a","Instore Sampling1",2015-10-15,2015-10-15,1
"i2c15FAINB","TV Wall1",2016-01-20,2016-02-02,1
"i2c15FAINB","Six Sheets1",2016-01-18,2016-01-31,1
"i2c1511028a","Six Sheets1",2016-01-18,2016-01-31,1
"i2c1507181a","Six Sheets1",2015-09-07,2015-09-20,1
"i2c1509014a","Instore Sampling1",2015-11-19,2015-11-19,1
"i2c1509014a","Instore Sampling2",2015-11-22,2015-11-22,1
"i2c1509014a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1509014a","Entrance Gates1",2015-11-18,2015-12-08,1
"i2cLYNX888","TV Wall1",2016-02-07,2016-04-02,1
"TEST_JD","Milk Media1",2015-08-26,2015-09-15,1
"TEST_JD","JS Magazine1",2015-08-25,2015-09-30,1
"TEST_JD","Mobile1",2015-08-26,2015-09-15,1
"TEST_JD","Six Sheets2",2015-08-19,2015-09-15,1
"TEST_JD","Six Sheets1",2015-08-19,2015-09-15,1
"i2c1508034a","JS Magazine1",2015-08-24,2015-09-29,1
"i2c1508034a","Six Sheets2",2015-10-05,2015-10-18,1
"i2c1508034a","Six Sheets1",2015-09-21,2015-10-04,1
"i2c1508203a","Instore Sampling1",2015-09-26,2015-09-27,1
"i2c1510054a2","Instore Sampling2",2015-11-30,2015-11-30,1
"i2c1510054a2","Instore Sampling1",2015-11-28,2015-11-29,1
"i2c1506032M2","JS Magazine1",2015-06-02,2015-06-30,1
"i2c1504065aM","JS Magazine1",2015-04-07,2015-05-05,1
"i2cFAIDADWV2","Six Sheets1",2015-10-05,2015-10-18,1
"i2cFAIDADWV2","Six Sheets2",2015-10-05,2015-10-18,1
"i2c1507151a","Six Sheets1",2015-09-21,2015-10-04,1
"i2c1508146a","Instore Sampling1",2015-12-11,2015-12-11,1
"i2c1508146a","Instore Sampling2",2015-12-12,2015-12-12,1
"i2c1508146a","Instore Sampling5",2015-12-13,2015-12-13,1
"i2c1508146a","Instore Sampling3",2015-12-14,2015-12-14,1
"i2c1508146a","Instore Sampling4",2015-12-15,2015-12-15,1
"i2c1508250a","Six Sheets1",2015-10-05,2015-10-18,1
"i2c1509111a","TV Wall1",2015-10-28,2015-11-17,1
"i2c1509111a","Six Sheets2",2015-11-16,2015-11-29,1
"i2cFABREV4","Six Sheets1",2015-11-02,2015-11-15,1
"i2cFABREV4","Six Sheets2",2015-11-02,2015-11-15,1
"i2c1510136a","JS Magazine1",2015-12-01,2015-12-24,1
"i2c1507192a","Instore Sampling1",2015-10-02,2015-10-02,1
"i2c1508042a","JS Magazine1",2015-08-24,2015-09-29,1
"i2c1508042a","TV Wall1",2015-08-12,2015-08-25,1
"i2c1507074aM","JS Magazine1",2015-06-30,2015-07-28,1
"i2c1510003a2","Six Sheets2",2015-11-16,2015-11-29,1
"i2c1510003a2","Six Sheets1",2015-11-16,2015-11-29,1
"i2c1510003a2","Entrance Gates1",2015-11-18,2015-12-08,1
"i2c1510051a","Instore Sampling3",2015-12-15,2015-12-15,1
"i2c1510051a","Instore Sampling4",2015-12-18,2015-12-18,1
"i2c1510051a","Instore Sampling2",2015-12-16,2015-12-16,1
"i2c1510051a","Instore Sampling5",2015-12-19,2015-12-19,1
"i2c1510051a","Instore Sampling1",2015-12-14,2015-12-14,1
"i2c1510051a","Instore Sampling6",2015-12-17,2015-12-17,1
"i2c1509022a","Instore Sampling1",2015-11-14,2015-11-14,1
"i2c1509022a","Instore Sampling4",2015-11-17,2015-11-17,1
"i2c1509022a","Instore Sampling2",2015-11-15,2015-11-15,1
"i2c1509022a","Instore Sampling3",2015-11-16,2015-11-16,1
"i2cFAINBV4","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1510145a","Trolleys1",2015-12-30,2016-01-19,1
"i2cORALBV2","Six Sheets2",2015-11-16,2015-11-29,1
"i2cORALBV2","Six Sheets1",2015-11-16,2015-11-29,1
"i2cORALBV2","Entrance Gates1",2015-11-18,2015-12-08,1
"i2cFLASHV4","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1510054a","Instore Sampling1",2015-11-28,2015-11-29,1
"i2c1510054a","Instore Sampling2",2015-11-30,2015-11-30,1
"i2cFAIFEV2","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1509101a","Instore Sampling1",2015-10-11,2015-10-11,1
"i2cFAIDHDWV4","Six Sheets1",2015-10-05,2015-10-18,1
"i2cFAIDHDWV4","Six Sheets2",2015-10-05,2015-10-18,1
"i2cARIALV4","Six Sheets2",2015-11-02,2015-11-15,1
"i2cARIALV4","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1508061a","JS Magazine1",2015-08-24,2015-09-29,1
"i2c1508061a","Instore Sampling1",2015-08-20,2015-08-20,1
"i2c1506014aM","JS Magazine1",2015-06-30,2015-07-28,1
"i2c1507176a","Instore Sampling1",2015-09-24,2015-09-25,1
"i2c1509107a7","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1510041a","JS Magazine1",2015-12-01,2015-12-24,1
"i2c1509144a","Instore Sampling2",2015-12-01,2015-12-01,1
"i2c1509144a","Instore Sampling1",2015-11-28,2015-11-28,1
"i2c1509144a","Instore Sampling2",2015-11-30,2015-11-30,1
"i2c1509144a","Instore Sampling2",2015-11-29,2015-11-29,1
"i2cLYNX111","TV Wall1",2016-02-07,2016-02-13,1
"i2c1509107a3","Six Sheets1",2015-10-05,2015-10-18,1
"i2c1509107a3","Six Sheets2",2015-10-05,2015-10-18,1
"i2c1508204a","Six Sheets1",2015-09-07,2015-09-20,1
"i2cOLAYV2","Six Sheets1",2015-11-16,2015-11-29,1
"i2cOLAYV2","Entrance Gates1",2015-11-18,2015-12-08,1
"i2c1508186a2","Trolleys1",2015-10-28,2015-11-17,1
"i2c1509107a1","Six Sheets1",2015-11-02,2015-11-15,1
"i2c1509107a1","Six Sheets3",2015-11-02,2015-11-15,1
"i2c1509107a1","Six Sheets2",2015-11-02,2015-11-15,1
"i2c1508186a2","Entrance Gates1",2015-10-28,2015-11-17,1
"i2c1511005a","Six Sheets1",2015-12-14,2015-12-27,1
"i2c1511005a","Entrance Gates1",2015-12-09,2015-12-29,1
"i2c1511005a","Instore Sampling3",2015-12-18,2015-12-18,1
"i2c1511005a","Instore Sampling2",2015-12-19,2015-12-19,1
"i2c1511005a","Instore Sampling1",2015-12-17,2015-12-17,1
"i2c1508179a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1508179a","Instore Sampling1",2015-10-29,2015-10-29,1
"i2c1510033a","TV Wall1",2015-11-18,2015-12-08,1
"i2c1510033a","TV Wall2",2015-12-09,2015-12-29,1
"i2c1510033a","Six Sheets1",2015-12-14,2016-01-04,1
"i2c1508098a","Instore Sampling1",2015-08-27,2015-08-27,1
"i2c1506063aM","JS Magazine1",2015-06-02,2015-06-30,1
"i2c1509116a","Instore Sampling2",2015-12-05,2015-12-05,1
"i2c1509116a","Instore Sampling1",2015-11-27,2015-11-27,1
"i2c1509116a","Instore Sampling3",2015-12-03,2015-12-03,1
"i2c1508223a","Instore Sampling4",2015-12-01,2015-12-01,1
"i2c1508223a","Instore Sampling2",2015-12-08,2015-12-08,1
"i2c1508223a","Instore Sampling1",2015-12-05,2015-12-05,1
"i2c1508223a","Instore Sampling3",2015-11-28,2015-11-28,1
"i2c1507210a","Instore Sampling1",2015-11-13,2015-11-13,1
"i2c1507210a","Instore Sampling2",2015-11-14,2015-11-14,1
"i2c1509125a","Instore Sampling1",2015-12-08,2015-12-08,1
"i2c1509125a","Instore Sampling2",2015-12-10,2015-12-10,1
"i2c1509125a","Instore Sampling5",2015-12-15,2015-12-15,1
"i2c1509125a","Instore Sampling4",2015-12-09,2015-12-09,1
"i2c1509125a","Instore Sampling3",2015-12-16,2015-12-16,1
"i2c1509125a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1509125a","TV Wall1",2015-10-28,2015-11-17,1
"i2c1509125a","Six Sheets1",2015-11-02,2015-11-15,1
"i2cFAIDADWV4","Six Sheets2",2015-10-05,2015-10-18,1
"i2cFAIDADWV4","Six Sheets1",2015-10-05,2015-10-18,1
